 Name                   Version      License                                                                                             
X GitPython              3.1.30       BSD License                                                                                         
X IMAPClient             2.1.0        BSD License                                                                                         
X Jinja2                 3.1.2        BSD License                                                                                         
X MarkupSafe             2.1.1        BSD License                                                                                         
X Pillow                 9.4.0        Historical Permission Notice and Disclaimer (HPND)                                                  
X PyWavelets             1.4.1        MIT License                                                                                         
X PyYAML                 6.0          MIT License                                                                                         
X Pygments               2.14.0       BSD License                                                                                         
X SpeechRecognition      3.8.1        BSD License                                                                                         
X XlsxWriter             3.0.6        BSD License                                                                                         
X argcomplete            1.10.3       Apache Software License                                                                             
X arrow                  1.2.3        Apache Software License                                                                             
X beautifulsoup4         4.8.2        MIT License                                                                                         
X binaryornot            0.4.4        BSD License                                                                                         
X briefcase              0.3.11       BSD License                                                                                         
X certifi                2022.12.7    Mozilla Public License 2.0 (MPL 2.0)                                                                
X chardet                3.0.4        GNU Library or Lesser General Public License (LGPL)                                                 
X charset-normalizer     2.1.1        MIT License                                                                                         
X click                  8.1.3        BSD License                                                                                         
X colosseum              0.2.0        BSD License                                                                                         
X commonmark             0.9.1        BSD License                                                                                         
X compressed-rtf         1.0.6        MIT License                                                                                         
X contourpy              1.0.6        BSD License                                                                                         
x cookiecutter           2.1.1        BSD License                                                                                         
X cycler                 0.11.0       BSD License                                                                                         
X dmgbuild               1.6.0        MIT License                                                                                         
X docx2txt               0.8          MIT License                                                                                             
X ds-store               1.3.1        MIT License                                                                                         
X ebcdic                 1.1.1        BSD License                                                                                         
!EXCLUDE! extract-msg            0.28.7       GPL                                                                                                 
X fonttools              4.38.0       MIT License                                                                                         
X gitdb                  4.0.10       BSD License                                                                                         
X idna                   3.4          BSD License                                                                                         
X imageio                2.23.0       BSD License                                                                                         
X importlib-metadata     4.13.0       Apache Software License                                                                             
X jinja2-time            0.2.0        MIT License                                                                                         
X joblib                 1.2.0        BSD License                                                                                         
X kiwisolver             1.4.4        BSD License                                                                                         
X lime                   0.2.0.1      BSD                                                                                                 
X lxml                   4.9.2        BSD License                                                                                         
X mac-alias              2.2.2        MIT License                                                                                         
X matplotlib             3.6.2        Python Software Foundation License                                                                  
X networkx               2.8.8        BSD License                                                                                         
X numpy                  1.24.1       BSD License                                                                                         
X olefile                0.46         BSD License                                                                                         
X packaging              21.3         Apache Software License; BSD License                                                                
X pdfminer.six           20191110     MIT License                                                                                         
X platformdirs           2.6.2        MIT License                                                                                         
X psutil                 5.9.4        BSD License                                                                                         
X pycryptodome           3.16.0       Apache Software License; BSD License; Public Domain                                                 
X pyparsing              3.0.9        MIT License                                                                                         
X python-dateutil        2.8.2        Apache Software License; BSD License                                                                
X python-pptx            0.6.21       MIT License                                                                                         
X python-slugify         7.0.0        MIT License                                                                                         
X pytz-deprecation-shim  0.1.0.post0  Apache Software License                                                                             
X requests               2.28.1       Apache Software License                                                                             
X rich                   12.6.0       MIT License                                                                                         
X rubicon-objc           0.4.3        BSD License                                                                                         
X scikit-image           0.19.3       BSD License                                                                                         
X scikit-learn           1.2.0        BSD License                                                                                         
X scipy                  1.10.0       BSD License                                                                                         
X six                    1.12.0       MIT License                                                                                         
X smmap                  5.0.0        BSD License                                                                                         
X sortedcontainers       2.4.0        Apache Software License                                                                             
X soupsieve              2.3.2.post1  MIT License                                                                                         
!EXCLUDE! text-unidecode         1.3          Artistic License; GNU General Public License (GPL); GNU General Public License v2 or later (GPLv2+) 
X textract               1.6.5        MIT                                                                                                 
X threadpoolctl          3.1.0        BSD License                                                                                         
X tifffile               2022.10.10   BSD License                                                                                         
X toga                   0.3.0.dev39  BSD License                                                                                         
X toga-cocoa             0.3.0.dev39  BSD License                                                                                         
X toga-core              0.3.0.dev39  BSD License                                                                                         
X toga-demo              0.3.0.dev39  BSD License                                                                                         
X tomli                  2.0.1        MIT License                                                                                         
X tomli_w                1.0.0        MIT License                                                                                         
X tqdm                   4.64.1       MIT License; Mozilla Public License 2.0 (MPL 2.0)                                                   
X travertino             0.1.3        BSD License                                                                                         
X tzdata                 2022.7       Apache Software License                                                                             
X tzlocal                4.2          MIT License                                                                                         
X urllib3                1.26.13      MIT License                                                                                         
X xlrd                   1.2.0        BSD License                                                                                         
X zipp                   3.11.0       MIT License                                                                                         
